X_train,Y_train
402.670303178,4588.913304481899
774.586863849,8777.740276377543
995.972689218,11280.627086947065
720.994419011,8162.8971693118665
373.046519504,4282.617294412978
749.689331529,8511.745711394404
473.623674302,5368.810856672602
925.832307174,10457.813279114569
214.656380994,2457.1228810742004
320.953377088,3657.873734264561
817.929736281,9270.048506991294
951.845180425,10768.952880075381
603.409204709,6886.2343796778
810.577116555,9228.822729075982
920.561583229,10431.692151030828
404.433779428,4578.971226281402
198.366367113,2249.3575179598442
900.658419969,10188.84811346353
154.123918621,1792.0414824543527
269.346793768,3107.1965283882523
91.3283382358,1117.311562442513
896.695197798,10115.274716107928
800.302519014,9054.11164198591
395.856624829,4511.2087041426685
373.794615509,4262.2729027836485
230.270645707,2630.584552589527
276.31865187,3174.42855943864
339.826042365,3837.2318554982303
61.6439627969,706.006567310847
54.2078005306,628.2713384862348
0.203533914953,40.36482057038845
931.937115898,10559.701063286602
67.837855949,774.6495889661642
304.165534939,3482.3994274406914
771.319355366,8706.322256422634
94.9076047081,1158.977322700256
628.18988818,7158.272796131592
207.014441395,2403.8922498129286
696.36990043,7874.774087451398
385.940986827,4448.982920607801
151.686513538,1803.4631343051708
387.512459623,4438.889602763789
106.116172286,1293.3364008856183
215.246591722,2523.849707578036
110.707231953,1254.466935395649
482.213319552,5467.404414701994
645.462573513,7276.615792318658
156.991847681,1830.8959043142331
432.895713053,4893.852112381608
343.322172519,3902.517350210072
703.926307971,8012.189972909817
993.401680699,11272.469350723224
388.50908206,4380.56436762588
560.544966577,6340.231287033961
618.969799293,6981.408324265414
632.62405278,7182.598175423845
663.157106822,7544.089718143257
308.423643282,3554.7257357365897
779.485946583,8864.838261835337
888.204283953,10024.608371015804
162.740971737,1883.9129957640407
411.807084269,4699.853494071756
417.404338275,4795.977417971395
682.360600426,7748.078640191643
79.8115113531,977.5271105628563
70.4905574778,863.9521227202512
753.416929998,8513.414666575945
430.621909909,4908.0155559305795
340.230672969,3885.890072304525
448.297744719,5139.836122216055
969.367105984,10975.966976692964
412.820455977,4688.883821481441
649.307492815,7391.555439593148
244.145505417,2777.0731441360012
937.396749461,10576.153859697557
678.473863296,7702.936423166142
770.248261549,8763.899869445775
230.384700642,2659.3478551243275
622.941108116,7117.829262848355
699.704331487,7952.914366302989
225.800956025,2571.38592248366
69.1017448243,844.8215982408476
994.566458059,11249.567103294057
417.867862509,4764.388242709597
749.661671098,8460.800578703305
809.791730175,9160.23770619753
164.719963391,1950.040111173437
962.168026228,10893.92829637032
897.162191662,10149.135133018432
839.943736433,9551.278208950416
76.9944586805,909.0242662873356
131.049522007,1550.6495904931592
80.3083645841,955.9788901276535
743.137522886,8390.619858820966
143.928655141,1711.6902882144589
606.435819319,6855.85531222139
715.909501087,8156.349993788757
312.839561823,3613.114587976019
126.145981324,1467.8165560990433
960.451268427,10893.200661724408
897.761261245,10153.26093932304
340.80684371,3873.8826397041926
294.445329508,3380.3692218361434
621.880785367,7023.51277865508
935.162649762,10618.06765592981
249.954846445,2838.2478357847804
843.487977489,9542.410333718706
949.408945669,10732.252771260264
914.966501404,10393.142441488208
856.737371263,9698.70336801615
184.569949258,2141.871784581901
306.466303389,3524.5841504273926
386.094618889,4415.513244894848
539.806373519,6142.524444937967
563.053021309,6413.331842363224
650.503213087,7342.684942387232
818.494146504,9239.786544612121
757.464562519,8565.284286041742
132.496665806,1507.704503300297
63.8320312902,763.3805223499974
142.406336462,1644.492180716098
948.161473329,10687.368363894915
506.643717215,5730.149803906551
834.100996017,9481.063233286815
23.4615804251,339.20319846328323
160.939513677,1857.8501318743754
752.841219052,8580.46312209267
865.922776846,9822.295909860422
637.785090381,7193.890476775944
407.530005213,4608.576240355129
621.738870555,7089.328996269484
700.696367889,7898.484978206388
506.271731102,5732.100491598533
825.094448353,9370.667405600294
676.61734709,7657.545833969617
96.1153881984,1135.411653611523
564.116223147,6397.234757744561
140.449450397,1589.31320193624
150.611139235,1712.0697431698534
405.154448051,4623.075596621973
484.472395947,5530.105860711129
643.926076408,7351.084148866535
686.666729329,7834.700535356693
508.192219594,5773.275923804021
145.074511273,1668.407699874595
317.446578899,3652.5762092186105
496.832290914,5616.8099297147855
429.949743211,4870.315055519897
691.519503692,7799.263206135467
799.236596546,9012.545465701736
575.670250653,6568.075718391555
772.697593915,8786.21884315839
548.828199739,6186.806454891441
193.705757632,2196.390250289446
168.664049849,1975.137093926808
81.0622534619,925.5594187258936
925.268683046,10471.8977675878
799.209096072,9024.332255052766
17.6597663188,215.04821928211615
58.150438599,759.8216738619436
147.802742358,1747.8556193220345
587.411718841,6679.797381094366
713.202426966,8080.528703794938
876.771854011,9944.785662334696
770.962489773,8784.338707732333
264.775324971,3014.685425841492
764.497142529,8689.091554326056
209.790383272,2370.0637517701107
152.928799242,1786.86946000511
754.077569343,8552.54766198056
829.309805921,9376.462704889449
172.849113521,2034.788862236181
234.167616028,2667.7459366742855
137.946964007,1652.3622471796702
649.710448675,7415.8683545696995
161.796069151,1840.0411234662472
789.836697845,8943.158499522826
157.382370906,1848.0256779248712
916.213346678,10416.457962084181
506.268889456,5753.982916965184
863.450690139,9769.252417987544
878.905826964,9989.567826367644
331.968749371,3828.949765308897
776.269108333,8826.290150122102
396.557798503,4555.971003675717
562.648270278,6354.317855725876
583.22253527,6611.982671304935
769.817974341,8683.242977780314
887.258786959,10089.949758663493
388.48209883,4468.7918072339335
544.774588473,6180.213805756121
